Title,Location,start_salary,max_salary,skills
Marketing,Mumbai,10000,10000,"Digital Marketing, Effective Communication, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, Research and Analytics, Time Management"
Lead Generation,"Delhi, West",10000,10000,"Effective Communication, Prospecting"
Human Resources (HR),Navi Mumbai,10000,12000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, MSExcel"
Sales Copywriter,Noida,7000,7000,"Content Writing, Copywriting, English Proficiency Written, MSWord"
Business Development (Sales),Gurgaon,10000,25000,"English Proficiency Spoken, English Proficiency Written, Sales, Sales pitch"
Customer Acquisition,Mumbai,10000,10000,"Effective Communication, English Proficiency Spoken, Hindi Proficiency Spoken, MSExcel, MSOffice, Time Management"
Product Marketing,Mumbai,10000,10000,"Digital Marketing, Effective Communication, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, Research and Analytics, Social Media Marketing, Time Management"
Telecalling,Mumbai,10000,10000,"Effective Communication, English Proficiency Spoken, Hindi Proficiency Spoken, MSExcel, Time Management"
Admission Counselor,Delhi,15000,15000,"Effective Communication, MSOffice"
Community Management,Delhi,20000,20000,"Effective Communication, English Proficiency Spoken, Event Management, Interpersonal Skills"
Human Resources (HR),Hyderabad,8000,10000,"Effective Communication, English Proficiency Spoken, Recruitment"
Entrepreneur In Residense,"Delhi, Ghaziabad, Gurgaon, Noida",8000,12000,"Business Research, Project Management, Research and Analytics"
Strategic Alliances & Partnership,Noida,12000,12000,"English Proficiency Spoken, Research and Analytics"
Lead Generation,Mumbai,15000,15000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Video Editing/Making,Noida,7000,7000,"Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making"
FPGA DEVELOPER INTERN,Surat,15000,20000,"FPGA Synthesis and Prototyping, Verilog, VHDL, VLSI"
Event Management,Delhi,20000,25000,"English Proficiency Spoken, English Proficiency Written, Event Management, Time Management"
AWS Developer,Hyderabad,5000,10000,"Amazon Web Services AWS, Artificial Intelligence, Cloud Computing, Data Analytics, Effective Communication, HTMLCSS, Python"
Talent Acquisition,Mumbai,12000,12000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, Recruitment"
Digital Marketing,Pune,8500,12000,"Canva, Creative Writing, Digital Marketing, Email Marketing, Facebook Ads, Search Engine Marketing SEM, Search Engine Optimization SEO, Video Editing, Video Making"
Graphic Design,Mumbai,10000,10000,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro"
Content Writing,Pune,10000,10000,"Creative Writing, English Proficiency Spoken, English Proficiency Written, Social Media Marketing"
Operations & Project Management (Telugu/Tamil/Malayalam),Pune,8000,10000,"Effective Communication, Negotiation, Problemsolving, Operations, Project Management"
Business Development (Sales),Gurgaon,15000,15000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, MSPowerPoint, Social Media Marketing"
Marketing,Bangalore,10000,10000,"Effective Communication, Marketing"
Law/Legal,"Thane, Navi Mumbai, Mumbai, Vashi, Panvel",7000,10000,"English Proficiency Spoken, English Proficiency Written, MSOffice"
Content Writing,Gurgaon,15000,15000,"Content Writing, Creative Writing, English Proficiency Spoken, English Proficiency Written, Search Engine Optimization SEO"
Program Management,Mumbai,5000,5000,"Effective Communication, MSExcel, Research and Analytics"
Social Media Marketing,Delhi,12000,12000,"Creative Writing, Digital Marketing, English Proficiency Written, Social Media Marketing"
Customer Service/Customer Support,Gurgaon,10000,10000,"English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, MSExcel, MSOffice"
Content Writing,Gurgaon,10000,10000,"Blogging, Creative Writing, Digital Marketing, English Proficiency Spoken, English Proficiency Written, Search Engine Optimization SEO"
Social Media Content Creation,Pune,5000,10000,"Adobe Photoshop, Adobe Premiere Pro, Canva, Digital Marketing, MSOffice"
Social Media Marketing,Jaipur,2000,2000,"Digital Marketing, Facebook Marketing, Instagram Marketing, Social Media Marketing"
FOTS Engineer,Delhi,15000,15000,"Computer Networking, Computer Networks, Network Security"
Digital Marketing,Delhi,15000,15000,"Canva, Creative Writing, Digital Marketing, Email Marketing, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Optimization SEO, Social Media Marketing"
Content Writing,Delhi,10000,12000,"Blogging, Content Writing, Creative Writing, English Proficiency Spoken, English Proficiency Written"
Brand Management,Mumbai,12000,12000,"Adobe Photoshop, Canva, English Proficiency Spoken, English Proficiency Written, MSExcel, MSPowerPoint, Social Media Marketing"
Motion Graphics Designer (Social Media),Work from home,25000,35000,"3ds Max, Adobe After Effects, Adobe Flash, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Animation, Autodesk Maya, Blender 3D, Cinema 4D, DaVinci Resolve, Unreal Engine, Video Editing, Video Making"
Company Secretary (CS),Gurgaon,15000,15000,"English Proficiency Spoken, MSOffice, MSWord"
Community Management,Bangalore,20000,20000,"Content Writing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Time Management"
Social Media Marketing,Bangalore,15000,15000,"English Proficiency Spoken, Facebook Marketing, Instagram Marketing, Social Media Marketing"
Project Management,Jaipur,5000,10000,"Product Lifecycle ManagementPLM, Product Management, Project Management, Research and Analytics"
Media & Public Relations (PR),Bangalore,10000,10000,"Content Writing, Creative Writing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Google Suite G Suite, Research and Analytics"
R&D Engineer,Bangalore,15000,15000,"AutoCAD, Autodesk Inventor, SolidWorks"
Human Resources (HR),Mumbai,10000,10000,"English Proficiency Spoken, English Proficiency Written, MSOffice, Recruitment, Time Management, Training And Development"
Sales and Marketing,Bangalore,7000,7000,"Client Relationship, Effective Communication, Sales"
Travel Consultant,Delhi,8000,8000,Holiday Package Design
Print,Mumbai,10000,10000,"Adobe Illustrator, Adobe Photoshop, CorelDRAW"
Human Resources (HR),Bhopal,2000,10000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSWord"
Fashion Design,Noida,7000,7000,"Adobe Illustrator, Adobe Photoshop, CorelDRAW, Fashion Designing"
Accounts,Gurgaon,10000,10000,"Accounting, English Proficiency Spoken, MSExcel, MSOffice, Tally"
Videography and Editing,Gurgaon,18000,18000,"Adobe After Effects, Adobe Creative Suite, Adobe Premiere Pro, Video Editing, Video Making"
Stock Market Content Writing,Chandigarh,15000,30000,Stock Trading
Copywriting,Delhi,10000,12000,"Copywriting, Creative Writing, English Proficiency Written"
Customer Service/Customer Support,Chandigarh,14000,14000,English Proficiency Spoken
Cyber Security,Kolkata,10000,10000,"Computer Networking, Ethical Hacking, Linux, Python, VAPT, Web Application Security"
Social Media (Insta Reel Short Making),Noida,10000,20000,Social Media Marketing
Digital Marketing,"Navi Mumbai, Mumbai",8000,8000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, Social Media Marketing"
Digital Marketing,Bangalore,15000,15000,"Content Writing, Creative Writing"
Lead Generation,Work from home,3000,3000,"Client Interaction, Lead Generation"
Content Writing,Bangalore,12000,12000,"Content Writing, Creative Writing, English Proficiency Written, Hindi Proficiency Written, Search Engine Optimization SEO"
Social Media Marketing,Hyderabad,7000,7000,"Instagram Marketing, Social Media Marketing, Video Editing"
Content Writing,Noida,12000,12000,"Blogging, Creative Writing, Digital Marketing, English Proficiency Spoken, English Proficiency Written, Search Engine Optimization SEO, Social Media Marketing"
Influencer & PR Marketing,Noida,12000,12000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Marketing, Market Research, Negotiation, Problemsolving, Social Media Marketing"
Law/Legal,Bangalore,15000,15000,"Business Research, English Proficiency Spoken, English Proficiency Written, MSOffice"
Meta Ads,Noida,7000,7000,"Digital Advertising, Digital Marketing, Facebook Ads, Facebook Marketing"
Backend Development (Python),Delhi,10000,10000,"Django, Docker, FastAPI, Flask, Linux, Python, REST API"
Flutter Development,Nashik,5000,5000,"Android, Dart, Flutter, REST API"
Project Coordinator For SSC And Banking,Work from home,6000,8000,Time Management
Digital Marketing,Work from home,12000,12000,"Digital Marketing, Email Marketing, English Proficiency Written, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Unity Developer,"Dehradun, Bangalore",10000,10000,"C, Unity 3D, Unity Engine"
Operations,"Delhi, Bangalore, Hyderabad, Mumbai, Vishakhapatnam",22000,22000,Effective Communication
Machine Learning,Hyderabad,5000,10000,"Artificial Intelligence, Data Science, Deep Learning, Machine Learning, Natural Language Processing NLP, Python"
Intellectual Property Rights (IPR) Expert,Work from home,5000,7000,Research and Analytics
Video Editing/Making,Delhi,10000,15000,"Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making"
Digital Marketing,Delhi,10000,10000,"Adobe Photoshop, Canva, Creative Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, MSExcel, MSWord, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing, Video Editing"
Finance & Accounting,Koramangala,10000,15000,"Accounting, Financial literacy, MSExcel"
Sales,Work from home,10000,15000,"English Proficiency Spoken, MSExcel"
Address Correction & Calling,Work from home,1000,5000,"Effective Communication, English Proficiency Spoken, Hindi Proficiency Spoken, MSExcel"
Finance Operation,Gurgaon,15000,15000,"Accounting, Effective Communication, Financial literacy, MSExcel, MSOffice, MSPowerPoint"
Instagram Page Ambassador,Work from home,6000,6000,"English Proficiency Spoken, English Proficiency Written, Instagram Marketing, Social Media Marketing"
Content Creator/Validator,Work from home,5000,5000,"Content Writing, MSOffice, Proofreading"
Content Writer,Work from home,2000,2000,"Content Writing, English Proficiency Spoken, English Proficiency Written, Google Workspace, MSOffice, MSWord"
UPSC TEST SERIES DEVELOPER,Work from home,6000,7000,"Content Writing, Creative Writing, Economics, English Proficiency Written, History, Mathematics, MSOffice, MSPowerPoint"
Legal Content Proof Reader,Work from home,6000,8000,"Labour laws, Proofreading"
UPSC Content Proof Reader,Work from home,6000,8000,"Content Writing, Creative Writing, Economics, English Proficiency Written, History, Mathematics, MSOffice, MSPowerPoint, Teaching"
Full Stack Development,Hyderabad,5000,10000,"CSS, HTML, JavaScript, MEANMERN Stack, MongoDB, MySQL, Nodejs, Python, ReactJS"
Sales Consultant,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",10000,10000,"Business Analysis, Effective Communication"
Sales,Work from home,10000,10000,"Email Marketing, Marketing, Sales"
Animation,Work from home,12000,15000,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Animation, Clip Studio Paint, Krita"
Market Research,Work from home,5000,5000,"Data Analysis, MSOffice, Report Writing, Research and Analytics"
Artificial Intelligence (AI),Hyderabad,8000,12000,"Artificial Intelligence, Deep Learning, Image Processing, Machine Learning, Natural Language Processing NLP, Python"
Product Marketing,Work from home,5000,8000,"Design Thinking, Marketing Campaigns, Problem Solving, Product Strategy"
SEO FRIENDLY Blog Writer For Legal Topics,Work from home,5000,7000,"Blogging, Content Marketing, Content Writing, Search Engine Optimization SEO"
Bengali Audio Record Project (Conversation In Bengali),Work from home,5000,9000,"Bengali Proficiency Spoken, Bengali Proficiency Written, Content Writing, Creative Writing, English Proficiency Written, Proofreading, Quality AssuranceQuality Control QAQC, Transcription, Voiceover artist, Voiceover"
Telugu Audio Record Project (Conversation In Telugu),Work from home,5000,9000,"Content Writing, Creative Writing, English Proficiency Spoken, English Proficiency Written, Proofreading, Quality AssuranceQuality Control QAQC, Telugu Proficiency Spoken, Telugu Proficiency Written, Transcription, Voiceover artist, Voiceover"
Tamil Audio Record Project (Conversation In Tamil),Work from home,5000,9000,"Content Writing, Creative Writing, English Proficiency Spoken, English Proficiency Written, Proofreading, Quality AssuranceQuality Control QAQC, Tamil Proficiency Spoken, Tamil Proficiency Written, Transcription, Voiceover artist, Voiceover"
Marathi Audio Record Project (Conversation In Marathi),Work from home,5000,9000,"Content Writing, Creative Writing, English Proficiency Spoken, English Proficiency Written, Marathi ProficiencySpoken, Marathi ProficiencyWritten, Proofreading, Quality AssuranceQuality Control QAQC, Transcription, Voiceover artist, Voiceover"
Customer Sales Representative,Work from home,3000,3000,"Effective Communication, Google Workspace, MSOffice"
Education Counselor,Work from home,7000,7000,"Effective Communication, English Proficiency Spoken, English Proficiency Written"
Video Editing/Making,Work from home,5000,8000,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making"
Social Media Marketing,Gurgaon,15000,20000,"Data Analysis, Effective Communication, English Proficiency Spoken, English Proficiency Written, Instagram Marketing, Negotiation, Problemsolving, Social Media Marketing"
Python Development,"Gurgaon, Jaipur",7000,15000,"CSS, Django, Flask, HTML, Python, REST API"
Business Development (Sales),Work from home,10000,10000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Social Media Marketing"
Sales Fellowship Program,Work from home,1000,1000,Sales
Project Transcription Specialist,Work from home,8000,12000,"LaTeX, MSExcel, MSWord"
Subject Matter Expert (Anatomy And Physiology),Work from home,5000,6000,"Biology, Online Teaching, Subject Matter Expert SME, Teaching"
Social Media Marketing,Work from home,7000,7000,"Data Analytics, Display Advertising, Problem Solving, Project Management, Search Engine Optimization SEO"
Doubt Solving Expert (Statistics),Work from home,5000,6000,"Online Teaching, Statistics, Subject Matter Expert SME, Teaching"
Linux Kernel Developer,Surat,14000,20000,"C Programming, Git, GitHub, Linux, Shell Scripting"
Video Editing/Making,Ludhiana,10000,15000,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing, Video Making"
Business Development (Sales),Ludhiana,15000,20000,"English Proficiency Spoken, English Proficiency Written"
Graphic Design,Work from home,3000,3000,"Canva, Design Thinking"
Thumbnail Editor,Work from home,2000,2000,"Adobe After Effects, Adobe Photoshop, Canva"
Content Creator,Indore,5000,7000,"Acting technique, Effective Communication"
Customer Acquisition,Delhi,10000,10000,"English Proficiency Spoken, English Proficiency Written, Sales"
Business Development (Sales),"Ghaziabad, Delhi",10000,10000,"English Proficiency Spoken, Sales"
Business Development (Sales),Noida,10000,15000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Sales, Sales pitch"
Program/Campaign Manager,Mumbai,15000,15000,"English Proficiency Spoken, English Proficiency Written, Event Management"
Telecalling,"Ghaziabad, Noida",10000,14000,English Proficiency Spoken
Business Development (Sales),Noida,10000,15000,English Proficiency Spoken
Sales,Gurgaon,13000,17000,"Effective Communication, Email Marketing, MSOffice"
Video Editing/Making,Delhi,5000,12000,"Adobe Illustrator, Adobe Premiere Pro, Final Cut Pro, Video Editing"
Content Writing,Noida,7000,7000,"Creative Writing, English Proficiency Spoken, English Proficiency Written, Sales, Sales pitch"
Search Engine Optimization (SEO),"Delhi, Ghaziabad, Noida",7000,9000,"Digital Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO"
Graphic Design,Ludhiana,15000,20000,"Adobe Illustrator, Adobe Photoshop, CorelDRAW"
Business Development (Sales),Pune,10000,10000,"Email Marketing, English Proficiency Spoken, MSExcel"
Business Development (Sales),Gurgaon,10000,10000,"English Proficiency Spoken, MSExcel"
Human Resources (HR),Bhopal,10000,10000,"English Proficiency Spoken, MSExcel, MSOffice, MSWord"
Video Editor,"Delhi, Pitampura",1000,20000,"Adobe After Effects, Adobe Premiere Pro, Canva"
Sales & Marketing,"Secunderabad, Hyderabad",5000,5000,English Proficiency Spoken
Human Resources (HR),"Chandigarh, Mohali, Haryana",9000,9000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSWord, Recruitment"
Digital Marketing,Mohali,8000,8000,"Digital Marketing, English Proficiency Written, Search Engine Optimization SEO, Social Media Marketing"
Human Resources (HR),Jaipur,10000,12000,"English Proficiency Spoken, English Proficiency Written"
Marketing,Kolkata,7000,15000,"Email Marketing, English Proficiency Spoken, English Proficiency Written, MSOffice, Social Media Marketing"
Content Writing,Noida,10000,12000,"Blogging, Creative Writing, English Proficiency Spoken, English Proficiency Written, Search Engine Optimization SEO"
Customer Experience Executive,Pune,10000,10000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Video Editing/Making,Hyderabad,4000,15000,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing, Video Making"
Digital Marketing,Indore,5000,7000,"Creative Writing, Digital Marketing, Instagram Marketing, Social Media Marketing"
Content Writing,Mohali,15000,15000,"Blogging, Creative Writing, English Proficiency Spoken, English Proficiency Written"
Content Creator,Noida,7000,7000,"Content Marketing, Digital Advertising, Digital Marketing, Social Media Marketing, Video Editing, Video Making"
Market Research,Pune,10000,10000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, Research and Analytics"
Community Management,Pune,20000,20000,5 days a week
Social Media Marketing,Pune,15000,35000,"Creative Writing, Digital Marketing, Effective Communication, Instagram Marketing, Social Media Marketing"
Visitor Promotion - Client Engagement,Delhi,15000,22000,"Client Interaction, Effective Communication, English Proficiency Spoken"
Aerospace Engineering,Hyderabad,2000,2000,"ANSYS, AutoCAD, Catia, English Proficiency Spoken, English Proficiency Written, MATLAB, MSExcel, SolidWorks"
Business Development (Sales),"Delhi, Gurgaon",15000,15000,"Digital Marketing, MSExcel, Social Media Marketing"
Mechanical Engineering,Delhi,8000,15000,"MSOffice, SolidWorks"
Search Engine Optimization (SEO),Gurgaon,10000,15000,"Digital Marketing, English Proficiency Written, Google Analytics, Search Engine Optimization SEO"
Social Media Marketing (Content Creation),"Delhi, Gurgaon",10000,10000,"Content Marketing, Facebook Marketing, Instagram Marketing, Social Media Marketing, Video Editing, Video Making"
Social Media Marketing,"Delhi, Gurgaon, South",10000,15000,"Digital Marketing, Email Marketing, English Proficiency Written, Facebook Marketing, Instagram Marketing, Social Media Marketing"
Content Writing,Kolkata,9000,9000,"Blogging, Creative Writing, English Proficiency Spoken, English Proficiency Written, Search Engine Optimization SEO, Social Media Marketing"
Geography Teacher,Pune,8000,8000,Teaching
Graphic Design,Noida,7000,7000,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, UI, UX Design"
Sales,Bangalore,8000,8000,"Sales, Sales pitch"
Mechanical Engineering,Delhi,8000,15000,"Effective Communication, MSOffice, SolidWorks"
Illustrator,Noida,7000,7000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Design Thinking, Digital Art"
Graphic Design,Pune,15000,35000,"Adobe After Effects, Adobe Indesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Canva, Figma"
Human Resources (HR),Noida,7000,7000,"English Proficiency Spoken, English Proficiency Written, Google Workspace, MSExcel, MSOffice, MSWord, Recruitment"
Video Editing/Making,Work from home,8000,10000,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Animation, Canva, Video Making"
Interior Designer - 3D Visualizer Interior Designer - 3D Visualizer,Vasai-Virar,10000,10000,"3ds Max, AutoCAD, Google SketchUp, MSOffice"
Talent Acquisition,Jaipur,5000,10000,"English Proficiency Spoken, English Proficiency Written, Human Resource Information System HRIS, MSExcel, Recruitment"
Cloud SaaS Software Support,Delhi,5000,12000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written"
Graphic Design,Delhi,5000,12000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, Blender 3D, Canva, Cinema 4D, CorelDRAW, Social Media Marketing, Video Editing"
Creative Design,Bangalore,5000,5000,"Adobe Illustrator, Adobe Photoshop, CAD"
Sales,"Lucknow, Bangalore",2000,15000,"CSS, Effective Communication, English Proficiency Spoken, Git, Google Suite G Suite"
Digital Marketing,Bangalore,15000,15000,"Digital Marketing, Email Marketing, Google Analytics, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Graphic Design,Delhi,5000,12000,"Adobe Photoshop, Adobe Premiere Pro, Canva, UI, UX Design, Video Editing"
Talent Acquisition,"Ghaziabad, Noida",10000,15000,"English Proficiency Spoken, English Proficiency Written"
Graphic Design,Ghaziabad,10000,10000,"Adobe Illustrator, Adobe Photoshop, Digital Marketing, Social Media Marketing"
Business Development - Sales (Diveristy Hiring for female candidates only),Bangalore,15000,15000,"Digital Marketing, Email Marketing, Lead Generation, Sales, Social Media Marketing"
Branding & Client Engagement,Mumbai,10000,15000,"Client Interaction, Client Relationship, English Proficiency Spoken, English Proficiency Written, Market Analysis, Marketing Campaigns"
Teaching,Mumbai,11000,11000,"English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Teaching"
Business Development (Vendor Relations),Bangalore,5000,10000,"Effective Communication, Negotiation, Problemsolving, Project Management"
Social Media Marketing,Work from home,3000,3000,"Digital Marketing, Social Media Marketing"
Video Editing/Making,"Pune, Bangalore",10000,10000,"Adobe Illustrator, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making"
Technical Speaker,"Delhi, Pitampura",1000,10000,"HTMLCSS, JavaScript, Python, React, Teaching"
Marketing,Mumbai,12000,12000,"Digital Marketing, English Proficiency Spoken, Social Media Marketing"
Video Editing/Making,"Gurgaon, Jaipur",7000,15000,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making"
Marketing,Dombivli,10000,15000,"Digital Marketing, Email Marketing, MSExcel, Social Media Marketing"
Founders Office,Mumbai,10000,10000,"Canva, Effective Communication, English Proficiency Spoken, English Proficiency Written, MSOffice"
Recruitment,"Ghaziabad, Noida",10000,15000,"English Proficiency Spoken, MSExcel, MSOffice"
3D Printing,Gurgaon,15000,18000,"Rapid Prototyping, SolidWorks"
Digital Marketing,"Lucknow, Bangalore",2000,15000,"Creative Writing, CSS, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Git, HTML, HTMLCSS, Instagram Marketing, JavaScript, Python, Search Engine Marketing SEM, Search Engine Optimization SEO, TypeScript"
Django Developer,Delhi,20000,25000,"Bootstrap, HTML, Python"
Recruitment Consultant,Bangalore,10000,15000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, Recruitment"
Blender Animation,"Lucknow, Bangalore",2000,15000,"Blender 3D, Canva, CSS, English Proficiency Spoken, English Proficiency Written, Google Suite G Suite, Google Workspace, Video Editing"
Social Media Marketing,Delhi,10000,12000,"Creative Writing, Digital Marketing, English Proficiency Written, Facebook Marketing, Instagram Marketing, Social Media Marketing"
Social Service,Work from home,1500,10000,"Advanced Excel, Business Analysis, Business Research, Client Relationship, Data Analysis, Effective Communication, English Proficiency Spoken, English Proficiency Written, Instagram Marketing, Social Media Marketing, Time Management"
Digital Marketing,Gurgaon,10000,20000,"Digital Marketing, Email Marketing, English Proficiency Spoken"
Business Development (Sales),Kolkata,3000,8000,"Bengali Proficiency Spoken, Bengali Proficiency Written, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Social Media Marketing"
Digital Marketing,Dehradun,2000,2000,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written"
Web Technical Support,Delhi,5000,5000,"Digital Marketing, PHP"
Social Entrepreneurship,Work from home,600,4500,"Business Analysis, Business Research, Content Writing, Creative Writing, Digital Advertising, Email Marketing"
Field Sales,Ahmedabad,5000,5000,"English Proficiency Spoken, Hindi Proficiency Spoken"
Customer Service/Customer Support,Dehradun,8000,8000,Effective Communication
Customer Acquisition,Delhi,6000,8000,Sales
Teaching Assistance - Electric Vehicle (Embedded Systems & MATLAB),Gurgaon,18000,18000,"Effective Communication, Embedded Systems, MATLAB, Online Teaching"
Customer Service/Customer Support,Coimbatore,8000,8000,"CRM, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Company Secretary (CS),"Lucknow, Bangalore",2000,15000,"Accounting, APIs, CSS, English Proficiency Spoken, GitHub, Google Suite G Suite, Python, Statutory compliances"
Social Work,Work from home,1500,10000,"Advanced Excel, Business Analysis, Client Relationship, Content Marketing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Market Analysis, Marketing, Marketing Campaigns, MSExcel, Report Writing, Social Media Marketing, Time Management"
Telecalling,Delhi,5000,8000,Effective Communication
Video Editing/Making,Gurgaon,5000,5000,"Adobe Premiere Pro, Final Cut Pro, Video Editing"
Digital Marketing,Ludhiana,15000,20000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, Instagram Marketing, Social Media Marketing"
